alarm-clock,alarm-clock,"=UNICHAR(HEX2DEC(""f09c""))","Alarm clock: Produces a strident ring to wake you up in the morning. If the hands are not phosphorescent, it's impossible to tell the time in dark room at night. (household sound time)"
algae,algae,"=UNICHAR(HEX2DEC(""f09d""))",Algae: Aquatic plants living on rocks at the bottom of the ocean. It's often a shelter for fish and can even be turned into an edible salad. (plant sea)
algeria,algeria,"=UNICHAR(HEX2DEC(""f09e""))","Algeria: Country located north of Africa, on the south bank of the Mediterannean sea. (map)"
alien-bug,alien-bug,"=UNICHAR(HEX2DEC(""f09f""))",Alien bug: An insectoid alien living in swarm colony and multiplying at big scale in no time. Not sure that it produces edible space honey. (claw creature science-fiction space)
alien-egg,alien-egg,"=UNICHAR(HEX2DEC(""f0a0""))",Alien egg: A monstrous baby about to emerge from its viscous incubation cocoon and start hunting. (creature egg science-fiction space tentacle)
alien-fire,alien-fire,"=UNICHAR(HEX2DEC(""f0a1""))",Alien Fire: A spectral entity coming from another planet. (fire)
alien-skull,alien-skull,"=UNICHAR(HEX2DEC(""f0a2""))","Alien skull: A dead cranium with long and sharp fangs. Truth is elsewhere, on another planet. (skull space)"
alien-stare,alien-stare,"=UNICHAR(HEX2DEC(""f0a3""))",Alien stare: Encounter of the third type when you face this monster from a distant planet of the outerspace. (head science-fiction space)
all-for-one,all-for-one,"=UNICHAR(HEX2DEC(""f0a4""))","All for one: ""All for one, one for all"", a musketeers apology praising team work to defeat foes. (blade weapon)"
all-seeing-eye,all-seeing-eye,"=UNICHAR(HEX2DEC(""f0a5""))","All seeing eye: The Eye of providence casting rays. God is watching you, even from dollar bills, privacy is gone forever. (eye symbol)"
allied-star,allied-star,"=UNICHAR(HEX2DEC(""f0a6""))",Allied star: Symbol of allied troops during WW2 (star symbol world-wars)
alligator-clip,alligator-clip,"=UNICHAR(HEX2DEC(""f0a7""))",Alligator clip: A sharp plier head to clip wires and remove extraneous plastic. (mouth spike)
almond,almond,"=UNICHAR(HEX2DEC(""f0a8""))","Almond: A dry nut used to make milk, cake and biscuits like nougat or macarons. (food fruit)"
amber-mosquito,amber-mosquito,"=UNICHAR(HEX2DEC(""f0a9""))",Amber mosquito: A disturbing blood sucker from Jurassic trapped in stone. It contains previous DNA necessary to bring back to life extinct species like dinosaurs. (insect mineral)
ambulance,ambulance,"=UNICHAR(HEX2DEC(""f0aa""))",Ambulance: An emergency transportation to carry injured people to the nearest hospital in a hurry. (life vehicle)
american-football-ball,american-football-ball,"=UNICHAR(HEX2DEC(""f0ab""))","American football ball: Give it to the quarterback to score. The rugby ball is quite similar, looking like a long egg. (australia ball sport)"
american-football-helmet,american-football-helmet,"=UNICHAR(HEX2DEC(""f0ac""))",American football helmet: To protect the quaterback's head when the ball is dropping. (hat sport)
american-football-player,american-football-player,"=UNICHAR(HEX2DEC(""f0ad""))",American football player: A light armor is necessary to run across the field as a quarterback. (armor sport)
american-shield,american-shield,"=UNICHAR(HEX2DEC(""f0ae""))","American shield: Made from Vibranium, the Captain's shield is virtually indestructible and usually comes back like a Frisbee. (shield star)"
amethyst,amethyst,"=UNICHAR(HEX2DEC(""f0af""))",Amethyst: A purple quartz protecting from drunkenness. (jewellery mineral)
ammo-box,ammo-box,"=UNICHAR(HEX2DEC(""f0b0""))",Ammo box: Bullets container to reload an empty gun. (container weapon)
ammonite-fossil,ammonite-fossil,"=UNICHAR(HEX2DEC(""f0b1""))",Ammonite fossil: A petrified marine creature trapped in the ocean floor. One of the first complex living organism. (animal sea shell stone)
ammonite,ammonite,"=UNICHAR(HEX2DEC(""f0b2""))",Ammonite: A very old marine specie of mollusk which used to live in the ocean during ancient times.Nowadays it's mostly encountered as a fossil. (animal sea shell)
amphora,amphora,"=UNICHAR(HEX2DEC(""f0b3""))",Amphora: A Roman vase to hold wine or other precious liquids during banquets. Many fragments of amphora are found in archaeological site. (bottle greek-roman kitchenware liquid)
ample-dress,ample-dress,"=UNICHAR(HEX2DEC(""f0b4""))",Ample dress: A large skirt that may be worn during a wedding or a ceremony. (clothing)
amplitude,amplitude,"=UNICHAR(HEX2DEC(""f0b5""))","Amplitude: A sinusoidal wave signal recorded on a oscilloscope. Judging from the shape, it could be a sound with decay at the end. (machine sound)"
amputation,amputation,"=UNICHAR(HEX2DEC(""f0b6""))",Amputation: A hand quick removal during surgery or combat. The stump can fester if not properly sterilized. (action hand trap)
anarchy,anarchy,"=UNICHAR(HEX2DEC(""f0b7""))",Anarchy: A political movement against establishment where decisions follow the will of the people. (symbol)
anatomy,anatomy,"=UNICHAR(HEX2DEC(""f0b8""))",Anatomy: Vital organs inside a human organism to help surgeons. (anatomy body)
anchor,anchor,"=UNICHAR(HEX2DEC(""f0b9""))",Anchor: The favorite tattoo of sailors on their arms. This huge hook of metal is attached to the floor of the sea to keep boats in stationary position. (boat liquid pirate sea)
ancient-columns,ancient-columns,"=UNICHAR(HEX2DEC(""f0ba""))",Ancient columns: 3 broken columns belonging to an old temple in ruins. (building greek-roman)
ancient-ruins,ancient-ruins,"=UNICHAR(HEX2DEC(""f0bb""))",Ancient ruins: An old temple falling apart with broken columns and rusty parts. (building greek-roman stone)
ancient-screw,ancient-screw,"=UNICHAR(HEX2DEC(""f0bc""))",Ancient screw: This bolt belongs to the carapace to old guardian robots. (machine zelda)
ancient-sword,ancient-sword,"=UNICHAR(HEX2DEC(""f0bd""))",Ancient sword: This old sword is stuck in a stone and covered with moss. (blade)
android-mask,android-mask,"=UNICHAR(HEX2DEC(""f0be""))",Android mask: A robot face with sharp edges. (mask robot science-fiction)
andromeda-chain,andromeda-chain,"=UNICHAR(HEX2DEC(""f0bf""))",Andromeda chain: The favorite metal whip of one of the Zodiac Knights. It's composed of metal links connected together. (metal weapon)
angel-outfit,angel-outfit,"=UNICHAR(HEX2DEC(""f0c0""))",Angel outfit: A holy halo above the head and strong wings in the back to be disguised as a soldier of God. (wing)
angel-wings,angel-wings,"=UNICHAR(HEX2DEC(""f0c1""))",Angel wings: Holy feathers to reach Paradise and fly through the clouds watching over mortals. (wing)
angler-fish,angler-fish,"=UNICHAR(HEX2DEC(""f0c2""))","Angler fish: Appealing light source in the darkness of abysses. In Donkey Kong Country 2, <em>Glimmer the Angler Fish</em> helps Diddy and Dixie to find their way through flooded ship wrecks. (animal fish sea)"
angola,angola,"=UNICHAR(HEX2DEC(""f0c3""))",Angola: South african country bordered by the Atlantic Ocean. The capital is Luanda. (map)
angry-eyes,angry-eyes,"=UNICHAR(HEX2DEC(""f0c4""))","Angry eyes: Stare with frowned eyebrows, feeling anger. (eye state)"
angular-spider,angular-spider,"=UNICHAR(HEX2DEC(""f0c5""))",Angular Spider: This one could fit as an emblem for a modern super hero. (animal insect)
animal-hide,animal-hide,"=UNICHAR(HEX2DEC(""f0c6""))","Animal hide: Leather skin, gathered after hunting or farming. This nice fur can then be turned into a pelt. (animal stone-age)"
animal-skull,animal-skull,"=UNICHAR(HEX2DEC(""f0c7""))",Animal skull: Angular cheekbones and spiky teeth for this bestial cranium. (animal skull)
ankh,ankh,"=UNICHAR(HEX2DEC(""f0c8""))",Ankh: A precious artifact that fits perfectly in Lara Croft's mansion after running after it during the 4th episode of her adventures. (cross egypt symbol)
annexation,annexation,"=UNICHAR(HEX2DEC(""f0c9""))",Annexation: All your bases belong to us! A military invasion in an enemy country to take it under permanent control. (action arrow map world-wars)
ant,ant,"=UNICHAR(HEX2DEC(""f0ca""))","Ant: A small part of a coordinated crowd, living in a colony of workers serving a queen. (insect)"
antarctica,antarctica,"=UNICHAR(HEX2DEC(""f0cb""))",Antarctica: The frozen continent at the South Pole is full of mysteries under the thick ice. (ice map)
anteater,anteater,"=UNICHAR(HEX2DEC(""f0cc""))","Anteater: With its longue tongue, it can reach ants tunnels to feed. (mammal)"
anthem,anthem,"=UNICHAR(HEX2DEC(""f0cd""))",Anthem: Hymn to rally the troops under a same nation feeling. Crowds often intone this heroic melody to support their sport team. (sound)
anti-aircraft-gun,anti-aircraft-gun,"=UNICHAR(HEX2DEC(""f0ce""))",Anti aircraft gun: Ground artillery to protect from danger in the sky. (gun weapon)
antibody,antibody,"=UNICHAR(HEX2DEC(""f0cf""))",Antibody: The immune system used this Y-shaped protein produced by plasma cells to neutralize pathogens like bacteria and viruses (chemical)
anticlockwise-rotation,anticlockwise-rotation,"=UNICHAR(HEX2DEC(""f0d0""))",Anticlockwise rotation: An arrow turning from right to left in the top quadrant. (arrow gui)
ants,ants,"=UNICHAR(HEX2DEC(""f0d1""))",Ants: A colony of soldiers and workers contributing to the hive. (insect)
anubis,anubis,"=UNICHAR(HEX2DEC(""f0d2""))","Anubis: Egyptian god of mummification with a jackal head, which looks like a wolf like invincible monster. (creature death egypt)"
anvil-impact,anvil-impact,"=UNICHAR(HEX2DEC(""f0d3""))","Anvil impact: A blacksmith smashing a hammer to beat hot steel in his forge to conceive blades. In this smithy, horseshoes can also be produced. (hammer metal tool)"
anvil,anvil,"=UNICHAR(HEX2DEC(""f0d4""))","Anvil: Everytime you need to forge a mighty sword, a skillfull blacksmith will easily transform bare metal to the right shape. (metal tool)"
apc,apc,"=UNICHAR(HEX2DEC(""f0d5""))",APC: Armoured Personnel Carrier constructed to drive infantry to the battlefield with maximal protection. (vehicle)
apollo-capsule,apollo-capsule,"=UNICHAR(HEX2DEC(""f0d6""))",Apollo capsule: A lunar module designed to carry astronauts back on earth. (space vehicle)
apothecary,apothecary,"=UNICHAR(HEX2DEC(""f0d7""))",Apothecary: Large bowl to prepare mixtures and medicines by combining herbs and special potions. (kitchenware life)
apple-core,apple-core,"=UNICHAR(HEX2DEC(""f0d8""))",Apple core: This apple has been eaten and only the center remains with seeds. (fruit)
apple-maggot,apple-maggot,"=UNICHAR(HEX2DEC(""f0d9""))","Apple maggot: This fruit is not rotten yet, but no one will ever want to take a bite at it. The apple is soiled by a cydia worm that reveals the internals and the seed. (fruit insect)"
apple-seeds,apple-seeds,"=UNICHAR(HEX2DEC(""f0da""))",Apple seeds: Better remove them before eating the apple if you don't want to have a tree growing in your belly. (fruit)
aquarium,aquarium,"=UNICHAR(HEX2DEC(""f0db""))",Aquarium: A fish tank with a small bubbling goldfish swimming around endlessly. It waits for magic food falling from above. (bottle fish household)
aquarius,aquarius,"=UNICHAR(HEX2DEC(""f0dc""))",Aquarius: A goddess pouring mighty water star constellation - Zodiacal sign from January to February (symbol)
aqueduct,aqueduct,"=UNICHAR(HEX2DEC(""f0dd""))","Aqueduct: <a href=""/games/greek-roman.html"">Roman bridge</a> transporting water across long distances to fill reservoirs. (bridge france greek-roman liquid)"
arabic-door,arabic-door,"=UNICHAR(HEX2DEC(""f0de""))","Arabic door: The beautifully decorated entrance of an Arabic temple, with colorful mosaic tiles. (building door)"
